[Summary]
Cell: MAB.210604.001
Description: MAB.210604.001
Protocol: C:\UHPC_data\Mitch\LNO-4.3V-OCV 15min-30C-max 2C.pro
Mass (mg): 0.99
Capacity (mAHr): 0.27209
User: 
Started: 6/4/2021 7:01:40 PM
Version: 3.0
Channel312UHPC6_03
[End Summary]
[Data]
Time (h),Cycle,Step,Meas I (A),Potential (V),Capacity (Ah),Prot.Step
12.0236667726016,1,1,1.39065925E-05,4.09267551,0.000167216600949021,0
12.0676510125096,1,1,1.39070751E-05,4.09780585,0.000167828295401347,0
12.1107511353436,1,1,1.39073033E-05,4.10285088,0.000168427697343203,0
12.1548224023366,1,1,1.390719675E-05,4.10795836,0.000169040602948952,0
12.1989971092974,1,1,1.39066361E-05,4.11297378,0.000169654950086373,0
12.2445020227094,1,1,1.39072334E-05,4.11798748,0.00017028779653303,0
12.2929823697028,1,1,1.39070817E-05,4.12312333,0.000170962017831359,0
12.3428401518107,1,1,1.39068198E-05,4.12812821,0.000171655395048214,0
12.397189719484,1,1,1.390729495E-05,4.13323667,0.000172411238558898,0
12.456147525994,1,1,1.39071584E-05,4.13835589,0.000173231176257111,0
12.5196969314927,1,1,1.3907358E-05,4.14340756,0.000174114974324968,0
12.5902517532204,1,1,1.390728205E-05,4.14849567,0.000175096205871463,0
12.6686490930975,1,1,1.390764315E-05,4.15356209,0.000176186518538026,0
12.7575536697739,1,1,1.39077541E-05,4.15857643,0.000177422973366874,0
12.8627604106071,1,1,1.39079372E-05,4.1636286,0.000178886169221641,0
12.9923502609736,1,1,1.390808615E-05,4.16865103,0.000180688489853798,0
13.162701521967,1,1,1.390758175E-05,4.17365265,0.000183057711703542,0
13.4013682862814,1,1,1.390738725E-05,4.17865999,0.000186377030057156,0
13.6522649159449,1,1,1.390742795E-05,4.18337601,0.000189866367927109,0
13.8703595777094,1,1,1.390741055E-05,4.1883792,0.000192899468960508,0
14.0390558125869,1,1,1.390735905E-05,4.19338515,0.00019524557515009,0
14.1819191588834,1,1,1.39074066E-05,4.19840637,0.000197232423639253,0
14.3092059472655,1,1,1.39074258E-05,4.20340864,0.000199002655208651,0
14.4331216891754,1,1,1.39076828E-05,4.20842009,0.000200726016598935,0
14.5463641776473,1,1,1.390783035E-05,4.21345305,0.000202300967780286,0
14.6498946950313,1,1,1.390801295E-05,4.21852367,0.000203740862924555,0
14.7395488697999,1,1,1.39084358E-05,4.22354621,0.000204987788401965,0
14.8164234392163,1,1,1.390827645E-05,4.22859812,0.000206056982116614,0
14.8841557846275,1,1,1.390830215E-05,4.23367858,0.000206999020275754,0
14.9460052279912,1,1,1.39081481E-05,4.23876116,0.000207859232080142,0
15.0021409090141,1,1,1.39080189E-05,4.24387668,0.000208639967109047,0
15.0524321203421,1,1,1.39077603E-05,4.24898891,0.00020933941406618,0
15.0982483503621,1,1,1.39077035E-05,4.25415551,0.000209976618322882,0
15.139739569432,1,1,1.390761165E-05,4.25926418,0.000210553666506552,0
15.1782503791489,1,1,1.390741265E-05,4.26435396,0.000211089262993263,0
15.2149945150488,1,1,1.39075552E-05,4.26956526,0.000211600284890344,0
15.2488213373372,1,1,1.39076472E-05,4.27466936,0.000212070736269855,0
15.2814176019207,1,1,1.390761645E-05,4.27989758,0.000212524068727933,0
15.3107769778475,1,1,1.390770865E-05,4.28490677,0.00021293238588303,0
15.3389388759785,1,1,1.39073952E-05,4.29003141,0.00021332404900794,0
15.3652763831038,1,1,1.390748055E-05,4.29514337,0.000213690337966831,0
15.388825746701,1,1,1.39074649E-05,4.3,0.000214017851358725,0
15.3889316954259,1,1,1.39074649E-05,4.3000252,0.000214019324836898,0
15.388976632158,1,1,1.39074649E-05,4.3000318368174,0.000214019949792921,0
15.3900471345621,1,2,0,4.29290165,0.000214019949792921,1
15.3901893738408,1,2,-1.39144157E-05,4.27181824,0.000214017970616468,1
15.3904956158529,1,2,-1.3914635E-05,4.26607715,0.000214013709351429,1
15.3920428237176,1,2,-1.39147882E-05,4.25888239,0.000213992180257873,1
15.3950064588438,1,2,-1.39146078E-05,4.2538335,0.000213950942384539,1
15.4008928114417,1,2,-1.391467625E-05,4.24844813,0.000213869036026983,1
15.4096759776102,1,2,-1.39143366E-05,4.24325338,0.000213746822877537,1
15.4213454139313,1,2,-1.391460465E-05,4.23814224,0.000213584448077546,1
15.4359952680711,1,2,-1.391435545E-05,4.23301911,0.00021338060481888,1
15.4536284473603,1,2,-1.391429325E-05,4.22788435,0.000213135251273375,1
15.4741503992131,1,2,-1.39143828E-05,4.2227715,0.000212849703575487,1
15.4976029615315,1,2,-1.391434745E-05,4.21769542,0.000212523377012236,1
15.5240850653632,1,2,-1.39144182E-05,4.21268404,0.000212154896423784,1
15.55520020277,1,2,-1.39140282E-05,4.20753633,0.000211721955742447,1
15.5904299627189,1,2,-1.391428265E-05,4.20243984,0.000211231765199031,1
15.6315153788936,1,2,-1.391423505E-05,4.19727316,0.000210660094225059,1
15.6788652001052,1,2,-1.391425085E-05,4.19218015,0.000210001259075672,1
15.7351436212099,1,2,-1.39143486E-05,4.18714651,0.000209218189359206,1
15.8072696588701,1,2,-1.391434655E-05,4.18209238,0.000208214608331235,1
15.9065380959235,1,2,-1.391426355E-05,4.17704386,0.000206833356081684,1
16.0616117539746,1,2,-1.39143072E-05,4.1720204,0.000204675590590524,1
16.3125704996952,1,2,-1.39146183E-05,4.16770649,0.000201183602734925,1
16.5635737786538,1,2,-1.391489245E-05,4.1651789,0.000197690939363344,1
16.8147430216756,1,2,-1.39152631E-05,4.1623686,0.000194195918849208,1
17.064963623613,1,2,-1.391564965E-05,4.15781328,0.000190714003856264,1
17.2363316397994,1,2,-1.39154094E-05,4.15277626,0.000188329354185983,1
17.3601081561596,1,2,-1.39149968E-05,4.14775701,0.000186606996484433,1
17.4588521731678,1,2,-1.391467565E-05,4.14269076,0.00018523298876779,1
17.5413231782783,1,2,-1.39145321E-05,4.13763358,0.000184085409670373,1
17.6132780636632,1,2,-1.391477585E-05,4.13252202,0.000183084170559325,1
17.676527486118,1,2,-1.39146004E-05,4.12745359,0.000182204069491149,1
17.7336880932644,1,2,-1.391483605E-05,4.12238413,0.000181408693380771,1
17.7855960151801,1,2,-1.39148727E-05,4.11734793,0.000180686405891232,1
17.8344732520229,1,2,-1.391455375E-05,4.112225,0.000180006291089802,1
17.880472323167,1,2,-1.391468775E-05,4.10708898,0.000179366227588501,1
17.924661322172,1,2,-1.391457565E-05,4.10191969,0.000178751348820398,1
17.9670888112448,1,2,-1.39149892E-05,4.09679829,0.000178160980462675,1
18.0085550638597,1,2,-1.391491975E-05,4.09167904,0.000177583986407347,1
18.0495046439052,1,2,-1.391471265E-05,4.0865607,0.000177014180797662,1
18.090868674876,1,2,-1.391447735E-05,4.0813981,0.000176438608819699,1
18.1323282843659,1,2,-1.391490905E-05,4.07629682,0.000175861706793452,1
18.175078594436,1,2,-1.39149325E-05,4.07116846,0.000175266847670832,1
18.2194569362712,1,2,-1.391491735E-05,4.06603399,0.000174649334288589,1
18.265358312959,1,2,-1.39145889E-05,4.06095268,0.000174010626113027,1
18.314255596625,1,2,-1.39146026E-05,4.05582069,0.000173330230379045,1
18.3660650185222,1,2,-1.391493085E-05,4.05068705,0.000172609312209573,1
18.4207144571381,1,2,-1.39145602E-05,4.04562939,0.000171848872672319,1
18.4797375092782,1,2,-1.391480395E-05,4.04057909,0.000171027575079196,1
18.544708502537,1,2,-1.391482765E-05,4.03549518,0.000170123506891992,1
